"gender","Age","Attitude","Points","deep","stra","surf"
"40","M",25,33,20,3.33333333333333,1.25,1.25
"41","F",30,17,23,4.08333333333333,4,4
"42","F",25,25,12,2.91666666666667,3,3
"43","M",30,32,24,3.33333333333333,2.5,2.5
"44","F",48,35,17,3.83333333333333,4.875,4.875
"45","F",24,32,29,3.66666666666667,5,5
"46","F",40,42,23,4.66666666666667,4.375,4.375
"47","M",25,31,28,3.75,3.25,3.25
"48","F",23,39,31,3.41666666666667,4,4
"49","F",25,19,23,4.16666666666667,3.125,3.125
"50","F",23,21,25,2.91666666666667,2.5,2.5
"51","M",27,25,18,4.16666666666667,3.125,3.125
"52","M",25,32,19,3.58333333333333,3.25,3.25
"53","M",23,32,22,2.83333333333333,2.125,2.125
"54","F",23,26,25,4,2.75,2.75
"55","F",23,23,21,2.91666666666667,2.375,2.375
"56","F",45,38,9,3,3.125,3.125
"57","F",22,28,28,4.08333333333333,4,4
"58","F",23,33,25,2.91666666666667,4,4
"59","M",21,48,29,3.5,2.25,2.25
"60","M",21,40,33,4.33333333333333,3.25,3.25
"61","F",21,40,33,4.25,3.625,3.625
"62","F",21,47,25,3.41666666666667,3.625,3.625
"63","F",26,23,18,3.08333333333333,2.5,2.5
"64","F",25,31,22,4.58333333333333,1.875,1.875
"65","F",26,27,17,3.41666666666667,2,2
"66","M",21,41,25,3.41666666666667,1.875,1.875
"67","F",23,34,28,3.41666666666667,4,4
"68","F",22,25,22,3.58333333333333,2.875,2.875
"69","F",22,21,26,1.58333333333333,3.875,3.875
"70","F",22,14,11,3.33333333333333,2.5,2.5
"71","F",23,19,29,4.33333333333333,2.75,2.75
"72","M",22,37,22,4.41666666666667,4.5,4.5
"73","M",23,32,21,4.83333333333333,3.375,3.375
"74","M",24,28,28,3.08333333333333,2.625,2.625
"75","F",22,41,33,3,4.125,4.125
"76","F",23,25,16,4.08333333333333,2.625,2.625
"77","M",22,28,31,4.08333333333333,2.25,2.25
"78","M",20,38,22,3.75,2.75,2.75
"79","M",22,31,31,3.08333333333333,3,3
"80","M",21,35,23,4.75,1.625,1.625
"81","F",22,36,26,4.25,1.875,1.875
"82","F",23,26,12,4.16666666666667,3.375,3.375
"83","M",21,44,26,4.41666666666667,3.75,3.75
"84","M",22,45,31,3.83333333333333,2.125,2.125
"85","M",29,32,19,3.33333333333333,2.375,2.375
"86","F",29,39,30,3.16666666666667,2.75,2.75
"87","F",21,25,12,3.16666666666667,3.125,3.125
"88","M",28,33,17,3.83333333333333,3.5,3.5
"89","F",21,33,18,4.25,2.625,2.625
"90","F",30,30,19,3.83333333333333,3.375,3.375
"91","F",21,29,21,3.66666666666667,2.25,2.25
"92","M",23,33,24,3.83333333333333,3,3
"93","F",21,33,28,3.83333333333333,4,4
"94","F",21,35,17,3.83333333333333,3.5,3.5
"95","F",20,36,18,3.66666666666667,2.625,2.625
"96","M",22,37,17,4.33333333333333,2.5,2.5
"97","M",21,42,23,3.75,3.75,3.75
"98","M",21,32,26,4.16666666666667,3.625,3.625
"99","F",20,50,28,4,4.125,4.125
"100","M",22,47,31,4,4.375,4.375
"101","F",20,36,27,4.58333333333333,2.625,2.625
"102","F",20,36,25,3.66666666666667,4,4
"103","M",24,29,23,3.66666666666667,2.75,2.75
"104","F",20,35,21,3.83333333333333,2.75,2.75
"105","F",19,40,27,2.58333333333333,1.375,1.375
"106","F",21,35,28,3.5,2.25,2.25
"107","F",21,32,23,3.08333333333333,3.625,3.625
"108","F",22,26,21,4.25,3.75,3.75
"109","F",25,20,25,3.16666666666667,4,4
"110","F",21,27,11,3.08333333333333,3.125,3.125
"111","F",22,32,19,4.16666666666667,3.25,3.25
"112","F",25,33,24,2.25,2.125,2.125
"113","F",20,39,28,3.33333333333333,2.875,2.875
"114","M",24,33,21,3.08333333333333,1.5,1.5
"115","F",20,30,24,2.75,2.5,2.5
"116","M",21,37,24,3.25,3.25,3.25
"117","F",20,25,20,4,3.625,3.625
"118","F",20,29,19,3.58333333333333,3.875,3.875
"119","M",31,39,30,4.08333333333333,3.875,3.875
"120","F",20,36,22,4.25,2.375,2.375
"121","F",22,29,16,3.41666666666667,3,3
"122","F",22,21,16,3.08333333333333,3.375,3.375
"123","M",21,31,19,3.5,2.75,2.75
"124","M",22,40,30,3.66666666666667,4.5,4.5
"125","F",21,31,23,4.25,2.625,2.625
"126","F",21,23,19,4.25,2.75,2.75
"127","F",21,28,18,3.83333333333333,3.25,3.25
"128","F",21,37,28,4.41666666666667,4.125,4.125
"129","F",20,26,21,3.5,3.375,3.375
"130","F",21,24,19,3.58333333333333,2.75,2.75
"131","F",25,30,27,3.66666666666667,4.125,4.125
"132","M",21,28,24,2.08333333333333,3.25,3.25
"133","F",24,29,21,4.25,2.875,2.875
"134","F",20,24,20,3.58333333333333,2.875,2.875
"135","M",21,31,28,4,2.375,2.375
"136","F",20,19,12,3.33333333333333,3.875,3.875
"137","F",20,20,21,3.5,2.125,2.125
"138","F",18,38,28,3.16666666666667,4,4
"139","F",21,34,31,3.58333333333333,3.25,3.25
"140","F",19,37,18,3.41666666666667,2.625,2.625
"141","F",21,29,25,4.25,2.75,2.75
"142","F",20,23,19,3.25,4,4
"143","M",21,41,21,4.41666666666667,3,3
"144","F",20,27,16,3.25,3.375,3.375
"145","F",21,35,7,3.91666666666667,3.875,3.875
"146","F",20,34,21,3.58333333333333,3.25,3.25
"147","F",18,32,17,4.5,3.375,3.375
"148","M",22,33,22,3.58333333333333,4.125,4.125
"149","F",22,33,18,3.66666666666667,3.5,3.5
"150","M",24,35,25,2.58333333333333,2,2
"151","F",19,32,24,4.16666666666667,3.625,3.625
"152","F",20,31,23,3.25,3.375,3.375
"153","F",20,28,23,4.33333333333333,2.125,2.125
"154","F",17,17,26,3.91666666666667,4.625,4.625
"155","M",19,19,12,2.66666666666667,2.5,2.5
"156","F",20,35,32,3.08333333333333,2.875,2.875
"157","F",20,24,22,3.75,2.75,2.75
"158","F",20,21,20,4.16666666666667,4,4
"159","F",20,29,21,4.16666666666667,2.375,2.375
"160","F",19,19,23,3.25,3.875,3.875
"161","F",19,20,20,4.08333333333333,3.375,3.375
"162","F",22,42,28,2.91666666666667,1.75,1.75
"163","M",35,41,31,3.83333333333333,3,3
"164","F",18,37,18,3.16666666666667,2.625,2.625
"165","F",19,36,30,3.41666666666667,2.625,2.625
"166","M",21,18,19,4.08333333333333,3.375,3.375
